Changes to the general lifestyle due to COVID-19 in selected countries 2020;China;Germany;United Kingdom;United States;
Washed hands more;74;83;77;80;in %
Stayed at home more;73;83;82;75;in %
Applied social distancing;57;65;73;65;in %
Avoided public places like bars and restaurants;62;64;64;63;in %
Gone to the shops less;63;70;69;60;in %
Cancelled plans with family or friends;56;62;65;49;in %
Travelled less;62;42;64;45;in %
Cleaned your house more;45;26;39;43;in %
Avoided certain shopping times;33;33;32;36;in %
Shopped online more;65;22;26;34;in %
Avoided public transport;65;54;53;33;in %
Used less cash;41;36;42;30;in %
Worked from home;45;27;27;25;in %
Reduced exercise regime;27;22;22;18;in %
I have not made any changes to my lifestyle;1;2;3;3;in %
